datetime,open,rate
2019-07-24,1.2123,1.0924
2019-07-25,1.2127,0.033
2019-07-26,1.2182,0.4535
2019-07-29,1.2188,0.0493
2019-07-30,1.2323,1.1076
2019-07-31,1.2203,-0.9738
2019-08-01,1.2167,-0.295
2019-08-02,1.2038,-1.0602
2019-08-05,1.1819,-1.8192
2019-08-06,1.1761,-0.4907
2019-08-07,1.1699,-0.5272
2019-08-08,1.1817,1.0086
2019-08-09,1.1698,-1.007
2019-08-12,1.1956,2.2055
2019-08-13,1.1894,-0.5186
2019-08-14,1.2008,0.9585
2019-08-15,1.2079,0.5913
2019-08-16,1.2103,0.1987
2019-08-19,1.2605,4.1477
2019-08-20,1.2536,-0.5474
2019-08-21,1.2549,0.1037
2019-08-22,1.2523,-0.2072
2019-08-23,1.2493,-0.2396
2019-08-26,1.2485,-0.064
2019-08-27,1.2583,0.7849
2019-08-28,1.2529,-0.4292
2019-08-29,1.2566,0.2953
2019-08-30,1.2413,-1.2176
2019-09-02,1.2805,3.158
2019-09-03,1.3002,1.5385
2019-09-04,1.3019,0.1307
2019-09-05,1.3251,1.782
2019-09-06,1.3306,0.4151
2019-09-09,1.3733,3.2091
2019-09-10,1.377,0.2694
2019-09-11,1.3767,-0.0218
2019-09-12,1.3827,0.4358
2019-09-16,1.3808,-0.1374
2019-09-17,1.3549,-1.8757
2019-09-18,1.356,0.0812
2019-09-19,1.3741,1.3348
2019-09-20,1.3714,-0.1965
2019-09-23,1.361,-0.7583
2019-09-24,1.3664,0.3968
2019-09-25,1.3466,-1.4491
2019-09-26,1.3301,-1.2253
2019-09-27,1.3325,0.1804
2019-09-30,1.3138,-1.4034
2019-10-08,1.3171,0.2512
2019-10-09,1.3202,0.2354
2019-10-10,1.346,1.9542
2019-10-11,1.3512,0.3863
2019-10-14,1.37,1.3914
2019-10-15,1.3559,-1.0292
2019-10-16,1.351,-0.3614
2019-10-17,1.3494,-0.1184
2019-10-18,1.3302,-1.4229
2019-10-21,1.3299,-0.0226
2019-10-22,1.3453,1.158
2019-10-23,1.3269,-1.3677
2019-10-24,1.3218,-0.3844
2019-10-25,1.3268,0.3783
2019-10-28,1.3399,0.9873
2019-10-29,1.3185,-1.5971
2019-10-30,1.3135,-0.3792
2019-10-31,1.306,-0.571
2019-11-01,1.3182,0.9342
2019-11-04,1.3484,2.291
2019-11-05,1.3588,0.7713
2019-11-06,1.355,-0.2797
2019-11-07,1.3572,0.1624
2019-11-08,1.3526,-0.3389
2019-11-11,1.3138,-2.8685
2019-11-12,1.3187,0.373
2019-11-13,1.3113,-0.5612
2019-11-14,1.3163,0.3813
2019-11-15,1.3116,-0.3571
2019-11-18,1.3215,0.7548
2019-11-19,1.3333,0.8929
2019-11-20,1.3272,-0.4575
2019-11-21,1.3252,-0.1507
2019-11-22,1.3069,-1.3809
2019-11-25,1.3142,0.5586
