datetime,open
2016-12-28,2.043
2016-12-29,2.04
2016-12-30,2.042
2016-12-31,2.042
2017-01-03,2.06
2017-01-04,2.085
2017-01-05,2.086
2017-01-06,2.077
2017-01-09,2.09
2017-01-10,2.085
2017-01-11,2.067
2017-01-12,2.049
2017-01-13,2.024
2017-01-16,1.981
2017-01-17,2.0
2017-01-18,1.999
2017-01-19,1.994
2017-01-20,2.016
2017-01-23,2.031
2017-01-24,2.027
2017-01-25,2.034
2017-01-26,2.05
2017-02-03,2.04
2017-02-06,2.056
2017-02-07,2.055
2017-02-08,2.066
2017-02-09,2.08
2017-02-10,2.085
2017-02-13,2.093
2017-02-14,2.096
2017-02-15,2.071
2017-02-16,2.087
2017-02-17,2.069
2017-02-20,2.096
2017-02-21,2.114
2017-02-22,2.129
2017-02-23,2.13
2017-02-24,2.128
2017-02-27,2.112
2017-02-28,2.122
2017-03-01,2.127
2017-03-02,2.116
2017-03-03,2.119
2017-03-06,2.138
2017-03-07,2.136
2017-03-08,2.129
2017-03-09,2.113
2017-03-10,2.119
2017-03-13,2.137
2017-03-14,2.138
2017-03-15,2.135
2017-03-16,2.158
2017-03-17,2.143
2017-03-20,2.148
2017-03-21,2.152
2017-03-22,2.148
2017-03-23,2.151
2017-03-24,2.168
2017-03-27,2.158
2017-03-28,2.152
2017-03-29,2.145
2017-03-30,2.114
2017-03-31,2.122
2017-04-05,2.165
2017-04-06,2.175
2017-04-07,2.186
2017-04-10,2.184
2017-04-11,2.199
2017-04-12,2.179
2017-04-13,2.194
2017-04-14,2.165
2017-04-17,2.146
2017-04-18,2.134
2017-04-19,2.116
2017-04-20,2.121
2017-04-21,2.107
2017-04-24,2.061
2017-04-25,2.067
2017-04-26,2.076
2017-04-27,2.085
2017-04-28,2.096
2017-05-02,2.094
2017-05-03,2.086
2017-05-04,2.075
2017-05-05,2.048
2017-05-08,2.013
2017-05-09,2.027
2017-05-10,1.994
2017-05-11,1.992
2017-05-12,1.986
2017-05-15,1.995
2017-05-16,2.032
2017-05-17,2.033
2017-05-18,2.02
2017-05-19,2.014
2017-05-22,1.988
2017-05-23,1.946
2017-05-24,1.955
2017-05-25,1.966
2017-05-26,1.961
2017-05-31,1.956
2017-06-01,1.913
2017-06-02,1.93
2017-06-05,1.944
2017-06-06,1.951
2017-06-07,1.986
2017-06-08,1.985
2017-06-09,1.99
2017-06-12,1.97
2017-06-13,1.995
2017-06-14,1.99
2017-06-15,2.012
2017-06-16,2.011
2017-06-19,2.023
2017-06-20,2.03
2017-06-21,2.033
2017-06-22,2.004
2017-06-23,2.01
2017-06-26,2.052
2017-06-27,2.052
2017-06-28,2.047
2017-06-29,2.058
2017-06-30,2.065
2017-07-03,2.09
2017-07-04,2.079
2017-07-05,2.097
2017-07-06,2.1
2017-07-07,2.118
2017-07-10,2.116
2017-07-11,2.09
2017-07-12,2.096
2017-07-13,2.099
2017-07-14,2.091
2017-07-17,2.015
2017-07-18,2.038
2017-07-19,2.079
2017-07-20,2.096
2017-07-21,2.102
2017-07-24,2.117
2017-07-25,2.111
2017-07-26,2.113
2017-07-27,2.118
2017-07-28,2.129
2017-07-31,2.16
2017-08-01,2.154
2017-08-02,2.146
2017-08-03,2.155
2017-08-04,2.144
2017-08-07,2.168
2017-08-08,2.17
2017-08-09,2.183
2017-08-10,2.169
2017-08-11,2.118
2017-08-14,2.154
2017-08-15,2.16
2017-08-16,2.162
2017-08-17,2.176
2017-08-18,2.173
2017-08-21,2.187
2017-08-22,2.182
2017-08-23,2.164
2017-08-24,2.149
2017-08-25,2.178
2017-08-28,2.202
2017-08-29,2.197
2017-08-30,2.213
2017-08-31,2.216
2017-09-01,2.237
2017-09-04,2.249
2017-09-05,2.25
2017-09-06,2.26
2017-09-07,2.248
2017-09-08,2.253
2017-09-11,2.271
2017-09-12,2.265
2017-09-13,2.277
2017-09-14,2.274
2017-09-15,2.256
2017-09-18,2.282
2017-09-19,2.275
2017-09-20,2.298
2017-09-21,2.281
2017-09-22,2.267
2017-09-25,2.242
2017-09-26,2.246
2017-09-27,2.267
2017-09-28,2.262
2017-09-29,2.281
2017-10-09,2.316
2017-10-10,2.328
2017-10-11,2.315
2017-10-12,2.312
2017-10-13,2.332
2017-10-16,2.306
2017-10-17,2.306
2017-10-18,2.291
2017-10-19,2.267
2017-10-20,2.289
2017-10-23,2.306
2017-10-24,2.305
2017-10-25,2.324
2017-10-26,2.338
2017-10-27,2.324
2017-10-30,2.291
2017-10-31,2.303
2017-11-01,2.298
2017-11-02,2.273
2017-11-03,2.254
2017-11-06,2.285
2017-11-07,2.294
